"R0000100","R0357900","R0536300","R0536401","R0536402","R1200300","R1205300","R1235800","R1482600","R2189100","R2200500","R2558800","R2563600","R3508200","R3511100","R3520100","R3880300","R3885200","R4909200","R4918000","R5459400","R5464400","R6536400","R6545000","R7222400","R7228100","S0924000","S0932900","S1535500","S1542000","S2005400","S2011800","S2990300","S2995900","S3805700","S4682600","S4685500","S4691000","S5405600","S6318100","S6321000","S6326800","S7506100","S8334600","S8339100","T0009400","T0741400","T0745900","T2012100","T2784900","T2789700","T3602100","T4496600","T4501300","T5202300","T6145500","T6150200","T6652100","T7640000","T7644700","T8123700","T9044600","Z9050500","Z9050600","Z9050700"
3594,1,2,10,1982,3,4,1,1,-4,-4,3,2,-4,0,-4,3,2,0,-4,3,2,0,-4,3,2,0,-4,3,10,3,5,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,8,5,5
3595,0,2,12,1983,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,-5,-5,-5,3,0,-4,3,0,-4,3,0,-4,3,0,-4,1,0,-4,-5,-5,3,2,4
3596,1,2,6,1980,3,1,1,4,-4,-4,3,1,-4,0,-4,3,-3,0,-4,3,1,0,-4,3,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11,3,3
3597,1,2,4,1982,3,2,1,4,-4,-4,3,2,-4,0,-4,3,2,0,-4,3,2,0,-4,3,10,0,-4,3,10,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,1,3,0,-4,3,0,-4,3,-4,4,3,4
3598,0,2,5,1981,3,1,1,1,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,10,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,4,5,5
3599,0,1,2,1983,3,1,1,1,-4,1,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,1,3,1,3,1,1,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,-5,-5,-5,3,-4,9,6,6
3600,0,2,12,1980,3,9,1,1,-4,-4,3,9,-4,0,-4,3,9,0,-4,3,9,0,-4,3,9,0,-4,3,9,3,9,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,3,4,4
3601,0,2,2,1983,3,1,1,1,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,3,7,8
3602,0,1,12,1980,3,1,1,2,-4,-4,3,1,-4,0,-4,3,1,0,1,3,5,0,-4,3,10,0,-4,3,4,3,4,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,-5,-5,3,5,5
3603,1,1,8,1983,3,1,1,2,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,5,0,-4,3,4,0,-4,3,4,3,4,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,2,7,7
3604,0,2,8,1983,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,1,3,1,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,1,4,4
3605,1,1,3,1983,3,4,1,4,-4,-4,3,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0,0
3606,0,1,8,1983,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,-5,-5,-5,-5,3,10,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,3,6,6
3607,0,2,9,1980,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,0,-4,3,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,5,-3,-3
3608,1,2,8,1981,3,4,1,4,-4,1,3,4,-4,0,-4,3,4,0,-4,3,4,0,-4,3,4,0,-4,3,2,3,2,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,1,3,0,-4,3,-4,7,9,9
3609,1,1,8,1983,3,4,1,4,-4,-4,3,4,-4,1,-4,3,4,1,1,3,4,1,1,3,4,1,-4,3,10,3,2,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,3,1,2,3,1,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,6,3,4
3610,0,1,8,1980,3,1,1,4,-4,-4,3,1,-4,0,-4,3,4,0,-4,3,4,0,-4,3,4,0,-4,3,4,3,10,-1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,5,5
3611,0,2,11,1981,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,4,3,4,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,1,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,3,8,9
3612,0,2,5,1983,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,3,4,3,4,0,-4,3,-4,0,-4,-5,-5,-5,-5,3,0,-4,3,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,0,-4,-5,-5,2,5,7
3613,0,2,5,1984,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,-1,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,3,-4,-1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,2,2
3614,0,2,11,1983,3,1,1,4,-4,-4,3,1,-4,0,-4,3,1,0,-4,3,1,0,-4,3,1,0,-4,2,1,2,1,0,-4,2,-4,0,-4,2,-4,0,-4,3,0,-4,2,-1,-4,2,0,-4,2,0,-4,2,-1,-4,-4,0,-4,3,-4,6,4,4
3615,1,2,7,1982,3,1,1,4,-4,-4,2,1,-4,0,-4,2,1,0,-4,1,10,1,-4,2,1,0,-4,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7,1,1
3616,1,1,12,1984,3,1,1,4,-4,2,2,1,-4,1,1,2,1,0,-4,2,1,0,5,2,1,0,-4,2,1,2,1,0,-4,2,-4,0,-4,2,-4,0,-4,2,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7,3,3
3617,1,2,12,1982,3,2,1,4,-4,4,3,4,-5,-5,-5,-5,-5,0,-4,3,10,0,-4,3,10,0,-4,3,10,3,3,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,-5,-5,3,11,11
3618,0,1,8,1984,3,2,1,4,-4,1,3,4,-4,1,-4,3,4,0,-4,3,8,1,-4,3,2,0,-4,3,4,3,4,0,-4,3,-4,0,-4,3,-4,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,0,-4,3,-4,12,9,9
